"code","label","level"
"07 05 43","Cladding Support Systems",4
"07 05 53","Fire and Smoke Assembly Identification",4
"07 06 00","Schedules for Thermal and Moisture Protection",3
"07 06 10","Schedules for Dampproofing and Waterproofing",4
"07 06 20","Schedules for Thermal Protection",4
"07 06 30","Schedules for Steep Slope Roofing",4
"07 06 40","Schedules for Roofing and Siding Panels",4
"07 06 50","Schedules for Membrane Roofing",4
"07 06 60","Schedules for Flashing and Sheet Metal",4
"07 06 70","Schedules for Roof Specialties and Accessories",4
"07 06 80","Schedules for Fire and Smoke Protection",4
"07 06 80.13","Fireproofing Schedule",5
"07 06 80.16","Firestopping Schedule",5
"07 06 90","Schedules for Joint Protection",4
"07 06 90.13","Joint Sealant Schedule",5
"07 08 00","Commissioning of Thermal and Moisture Protection",3
"07 10 00","Dampproofing and Waterproofing",2
"07 11 00","Dampproofing",3
"07 11 13","Bituminous Dampproofing",4
"07 11 16","Cementitious Dampproofing",4
"07 11 19","Sheet Dampproofing",4
"07 12 00","Built-Up Bituminous Waterproofing",3
"07 12 13","Built-Up Asphalt Waterproofing",4
"07 12 16","Built-Up Coal Tar Waterproofing",4
"07 13 00","Sheet Waterproofing",3
"07 13 13","Bituminous Sheet Waterproofing",4
"07 13 26","Self-Adhering Sheet Waterproofing",4
"07 13 52","Modified Bituminous Sheet Waterproofing",4
"07 13 53","Elastomeric Sheet Waterproofing",4
"07 13 54","Thermoplastic Sheet Waterproofing",4
"07 14 00","Fluid-Applied Waterproofing",3
"07 14 13","Hot Fluid-Applied Rubberized Asphalt Waterproofing",4
"07 14 14","Hot Fluid-Applied Polyurea Waterproofing",4
"07 14 16","Cold Fluid-Applied Waterproofing",4
"07 15 00","Sheet Metal Waterproofing",3
"07 15 13","Sheet Lead Waterproofing",4
"07 16 00","Cementitious and Reactive Waterproofing",3
"07 16 13","Polymer Modified Cement Waterproofing",4
"07 16 16","Crystalline Waterproofing",4
"07 16 19","Metal Oxide Waterproofing",4
"07 17 00","Bentonite Waterproofing",3
"07 17 13","Bentonite Panel Waterproofing",4
"07 17 16","Bentonite Composite Sheet Waterproofing",4
"07 18 00","Traffic Coatings",3
"07 18 13","Pedestrian Traffic Coatings",4
"07 18 16","Vehicular Traffic Coatings",4
"07 19 00","Water Repellents",3
"07 19 13","Acrylic Water Repellents",4
"07 19 16","Silane Water Repellents",4
"07 19 19","Silicone Water Repellents",4
"07 19 23","Siloxane Water Repellents",4
"07 19 26","Stearate Water Repellents",4
"07 19 29","Penetrating Polyester Water Repellents",4
"07 20 00","Thermal Protection",2
"07 21 00","Thermal Insulation",3
"07 21 13","Board Insulation",4
"07 21 13.13","Foam Board Insulation",5
"07 21 13.16","Fibrous Board Insulation",5
"07 21 13.19","Mineral Board Insulation",5
"07 21 16","Blanket Insulation",4
"07 21 19","Foamed-In-Place Insulation",4
"07 21 23","Loose-Fill Insulation",4
"07 21 26","Blown Insulation",4
"07 21 29","Sprayed Insulation",4
"07 21 53","Reflective Insulation",4
"07 22 00","Roof and Deck Insulation",3
"07 22 13","Asphaltic Perlite Concrete Deck",4
"07 22 16","Roof Board Insulation",4
"07 24 00","Exterior Insulation and Finish Systems",3
"07 24 13","Polymer-Based Exterior Insulation and Finish System",4
"07 24 16","Polymer-Modified Exterior Insulation and Finish System",4
"07 24 19","Water-Drainage Exterior Insulation and Finish System",4
"07 24 23","Direct-Applied Finish Systems",4
"07 25 00","Weather Barriers",3
"07 26 00","Vapor Retarders",3
"07 26 13","Above-Grade Vapor Retarders",4
"07 26 16","Below-Grade Vapor Retarders",4
"07 26 23","Below-Grade Gas Retarders",4
"07 27 00","Air Barriers",3
"07 27 13","Modified Bituminous Sheet Air Barriers",4
"07 27 16","Sheet Metal Membrane Air Barriers",4
"07 27 19","Plastic Sheet Air Barriers",4
"07 27 23","Board Product Air Barriers",4
"07 27 26","Fluid-Applied Membrane Air Barriers",4
"07 27 36","Sprayed Foam Air Barrier",4
"07 30 00","Steep Slope Roofing",2
"07 30 91","Canvas Roofing",4
"07 31 00","Shingles and Shakes",3
"07 31 13","Asphalt Shingles",4
"07 31 13.13","Fiberglass-Reinforced Asphalt Shingles",5
"07 31 16","Metal Shingles",4
"07 31 19","Mineral-Fiber Cement Shingles",4
"07 31 23","Porcelain Enamel Shingles",4
"07 31 26","Slate Shingles",4
"07 31 29","Wood Shingles and Shakes",4
"07 31 29.13","Wood Shingles",5
"07 31 29.16","Wood Shakes",5
"07 31 33","Composite Rubber Shingles",4
"07 31 53","Plastic Shakes",4
"07 32 00","Roof Tiles",3
"07 32 13","Clay Roof Tiles",4
"07 32 14","Ceramic and Porcelain Roof Tiles",4
"07 32 16","Concrete Roof Tiles",4
"07 32 19","Metal Roof Tiles",4
"07 32 23","Mineral-Fiber Cement Roof Tiles",4
"07 32 26","Plastic Roof Tiles",4
"07 32 29","Rubber Tiles/Panels",4
"07 33 00","Natural Roof Coverings",3
"07 33 13","Sod Roofing",4
"07 33 16","Thatched Roofing",4
"07 33 63","Vegetated Steep-Slope Roofing",4
"07 40 00","Roofing and Siding Panels",2
"07 41 00","Roof Panels",3
"07 41 13","Metal Roof Panels",4
"07 41 16","Insulated Metal Roof Panels",4
"07 41 23","Wood Roof Panels",4
"07 41 33","Plastic Roof Panels",4
"07 41 43","Composite Roof Panels",4
"07 41 63","Fabricated Roof Panel Assemblies",4
"07 42 00","Wall Panels",3
"07 42 13","Metal Wall Panels",4
"07 42 13.13","Formed Metal Wall Panels",5
"07 42 13.16","Metal Plate Wall Panels",5
"07 42 13.19","Insulated Metal Wall Panels",5
"07 42 13.23","Metal Composite Material Wall Panels",5
"07 42 23","Wood Wall Panels",4
"07 42 26","Tile Wall Panels",4
"07 42 29","Terra Cotta Wall Panels",4
"07 42 33","Plastic Wall Panels",4
"07 42 43","Composite Wall Panels",4
"07 42 46","Cementitious Wall Panels",4
"07 42 63","Fabricated Wall Panel Assemblies",4
"07 42 93","Soffit Panels",4
"07 44 00","Faced Panels",3
"07 44 13","Aggregate Coated Panels",4
"07 44 16","Porcelain Enameled Faced Panels",4
"07 44 19","Tile-Faced Panels",4
"07 44 23","Ceramic-Tile-Faced Panels",4
"07 44 33","Metal Faced Panels",4
"07 44 53","Glass-Fiber-Reinforced Cementitious Panels",4
"07 44 56","Mineral-Fiber-Reinforced Cementitious Panels",4
"07 44 63","Fabricated Faced Panel Assemblies",4
"07 46 00","Siding",3
"07 46 16","Aluminum Siding",4
"07 46 19","Steel Siding",4
"07 46 21","Zinc Siding",4
"07 46 23","Wood Siding",4
"07 46 24","Wood Shingle and Shake Siding",4
"07 46 24.13","Wood Shingle Siding",5
"07 46 24.16","Wood Shake Siding",5
"07 46 26","Hardboard Siding",4
"07 46 29","Plywood Siding",4
"07 46 33","Plastic Siding",4
"07 46 43","Composition Siding",4
"07 46 46","Fiber-Cement Siding",4
"07 46 63","Fabricated Panel Assemblies with Siding",4
"07 50 00","Membrane Roofing",2
"07 51 00","Built-Up Bituminous Roofing",3
"07 51 13","Built-Up Asphalt Roofing",4
"07 51 13.13","Cold-Applied Built-Up Asphalt Roofing",5
"07 51 16","Built-Up Coal Tar Roofing",4
"07 51 23","Glass-Fiber-Reinforced Asphalt Emulsion Roofing",4
"07 52 00","Modified Bituminous Membrane Roofing",3
"07 52 13","Atactic-Polypropylene-Modified Bituminous Membrane Roofing",4
"07 52 13.11","Cold Adhesive Applied Atactic-Polypropylene-Modified Bituminous Membrane Roofing",5
"07 52 13.13","Torch-Applied Atactic-Polypropylene-Modified Bituminous Membrane Roofing",5
"07 52 13.14","Mechanically Fastened Atactic-Polypropylene-Modified Bituminous Membrane Roofing",5
"07 52 16","Styrene-Butadiene-Styrene Modified Bituminous Membrane Roofing",4
"07 52 16.11","Cold Adhesive Styrene-Butadiene-Styrene Modified Bituminous Membrane Roofing",5
"07 52 16.12","Hot-Mopped Styrene-Butadiene-Styrene Modified Bituminous Membrane Roofing",5
"07 52 16.13","Torch-Applied Styrene-Butadiene-Styrene Modified Bituminous Membrane Roofing",5
"07 52 16.14","Mechanically Fastened Styrene-Butadiene-Styrene Modified Bituminous Membrane Roofing",5
"07 53 00","Elastomeric Membrane Roofing",3
"07 53 13","Chlorinated-Polyethylene Roofing",4
"07 53 16","Chlorosulfonate-Polyethylene Roofing",4
"07 53 23","Ethylene-Propylene-Diene-Monomer Roofing",4
"07 53 29","Polyisobutylene Roofing",4
"07 54 00","Thermoplastic Membrane Roofing",3
"07 54 13","Copolymer-Alloy Roofing",4
"07 54 16","Ketone Ethylene Ester Roofing",4
"07 54 19","Polyvinyl-Chloride Roofing",4
"07 54 23","Thermoplastic-Polyolefin Roofing",4
"07 54 26","Nitrile-Butadiene-Polymer Roofing",4
"07 55 00","Protected Membrane Roofing",3
"07 55 51","Built-Up Bituminous Protected Membrane Roofing",4
"07 55 52","Modified Bituminous Protected Membrane Roofing",4
"07 55 53","Elastomeric Protected Membrane Roofing",4
"07 55 54","Thermoplastic Protected Membrane Roofing",4
"07 55 56","Fluid-Applied Protected Membrane Roofing",4
"07 55 56.13","Hot-Applied Rubberized Asphalt Protected Membrane Roofing",5
"07 55 63","Vegetated Protected Membrane Roofing",4
"07 56 00","Fluid-Applied Roofing",3
"07 57 00","Coated Foamed Roofing",3
"07 57 13","Sprayed Polyurethane Foam Roofing",4
"07 58 00","Roll Roofing",3
"07 60 00","Flashing and Sheet Metal",2
"07 61 00","Sheet Metal Roofing",3
"07 61 13","Standing Seam Sheet Metal Roofing",4
"07 61 16","Batten Seam Sheet Metal Roofing",4
"07 61 19","Flat Seam Sheet Metal Roofing",4
"07 62 00","Sheet Metal Flashing and Trim",3
"07 63 00","Sheet Metal Roofing Specialties",3
"07 64 00","Sheet Metal Wall Cladding",3
"07 64 13","Standing Seam Sheet Metal Wall Cladding",4
"07 64 16","Batten Seam Sheet Metal Wall Cladding",4
"07 64 19","Flat Seam Sheet Metal Wall Cladding",4
"07 65 00","Flexible Flashing",3
"07 65 13","Laminated Sheet Flashing",4
"07 65 16","Modified Bituminous Sheet Flashing",4
"07 65 19","Plastic Sheet Flashing",4
"07 65 23","Rubber Sheet Flashing",4
"07 65 26","Self-Adhering Sheet Flashing",4
"07 70 00","Roof and Wall Specialties and Accessories",2
"07 71 00","Roof Specialties",3
"07 71 13","Manufactured Copings",4
"07 71 16","Manufactured Counterflashing Systems",4
"07 71 19","Manufactured Gravel Stops and Fasciae",4
"07 71 23","Manufactured Gutters and Downspouts",4
"07 71 23.13","Gutter Debris Guards",5
"07 71 26","Reglets",4
"07 71 29","Manufactured Roof Expansion Joints",4
"07 71 33","Manufactured Scuppers",4
"07 72 00","Roof Accessories",3
"07 72 13","Manufactured Curbs",4
"07 72 23","Relief Vents",4
"07 72 26","Ridge Vents",4
"07 72 33","Roof Hatches",4
"07 72 36","Smoke Vents",4
"07 72 39","Operable Roof Vents",4
"07 72 43","Roof Walk Boards",4
"07 72 46","Roof Walkways",4
"07 72 53","Snow Guards",4
"07 72 63","Waste Containment Assemblies",4
"07 72 73","Vegetated Roof Systems",4
"07 76 00","Roof Pavers",3
"07 76 13","Roof Ballast Pavers",4
"07 76 16","Roof Decking Pavers",4
"07 77 00","Wall Specialties",3
"07 80 00","Fire and Smoke Protection",2
"07 81 00","Applied Fireproofing",3
"07 81 13","Cement Aggregate Fireproofing",4
"07 81 16","Cementitious Fireproofing",4
"07 81 19","Foamed Magnesium-Oxychloride Fireproofing",4
"07 81 23","Intumescent Fireproofing",4
"07 81 26","Magnesium Cement Fireproofing",4
"07 81 29","Mineral-Fiber Cementitious Fireproofing",4
"07 81 33","Mineral-Fiber Fireproofing",4
"07 82 00","Board Fireproofing",3
"07 82 13","Calcium-Silicate Board Fireproofing",4
"07 82 16","Slag-Fiber Board Fireproofing",4
"07 84 00","Firestopping",3
"07 84 13","Penetration Firestopping",4
"07 84 13.13","Penetration Firestopping Mortars",5
"07 84 13.16","Penetration Firestopping Devices",5
"07 84 43","Joint Firestopping",4
"07 84 53","Building Perimeter Firestopping",4
"07 86 00","Smoke Seals",3
"07 87 00","Smoke Containment Barriers",3
"07 90 00","Joint Protection",2
"07 91 00","Preformed Joint Seals",3
"07 91 13","Compression Seals",4
"07 91 16","Joint Gaskets",4
"07 91 23","Backer Rods",4
"07 91 26","Joint Fillers",4
"07 92 00","Joint Sealants",3
"07 92 13","Elastomeric Joint Sealants",4
"07 92 16","Rigid Joint Sealants",4
"07 92 19","Acoustical Joint Sealants",4
"07 95 00","Expansion Control",3
"07 95 13","Expansion Joint Cover Assemblies",4
"07 95 13.13","Interior Expansion Joint Cover Assemblies",5
"07 95 13.16","Exterior Expansion Joint Cover Assemblies",5
"07 95 13.19","Parking Deck Expansion Joint Cover Assemblies",5
"07 95 53","Joint Slide Bearings",4
"07 95 63","Bridge Expansion Joint Cover Assemblies",4
"08 00 00","Openings",1
"08 01 00","Operation and Maintenance of Openings",3
"08 01 10","Operation and Maintenance of Doors and Frames",4
"08 01 11","Operation and Maintenance of Metal Doors and Frames",4
"08 01 14","Operation and Maintenance of Wood Doors",4
"08 01 15","Operation and Maintenance of Plastic Doors",4
"08 01 16","Operation and Maintenance of Composite Doors",4
"08 01 17","Operation and Maintenance of Integrated Door Opening Assemblies",4
"08 01 30","Operation and Maintenance of Specialty Doors and Frames",4
"08 01 32","Operation and Maintenance of Sliding Glass Doors",4
"08 01 33","Operation and Maintenance of Coiling Doors and Grilles",4
"08 01 34","Operation and Maintenance of Special Function Doors",4
"08 01 35","Operation and Maintenance of Folding Doors and Grilles",4
"08 01 36","Operation and Maintenance of Panel Doors",4
"08 01 39","Operation and Maintenance of Traffic Doors",4
"08 01 40","Operation and Maintenance of Entrances, Storefronts, and Curtain Walls",4
"08 01 41","Operation and Maintenance of Entrances",4
"08 01 42","Operation and Maintenance of Storefronts",4
"08 01 44","Operation and Maintenance of Curtain Walls",4
"08 01 50","Operation and Maintenance of Windows",4
"08 01 51","Operation and Maintenance of Metal Windows",4
"08 01 52","Operation and Maintenance of Wood Windows",4
"08 01 52.61","Wood Window Repairs",5
"08 01 52.71","Wood Window Rehabilitation",5
"08 01 52.81","Wood Window Replacement",5
"08 01 52.91","Wood Window Restoration",5
"08 01 52.93","Historic Treatment of Wood Windows",5
"08 01 53","Operation and Maintenance of Plastic Windows",4
"08 01 54","Operation and Maintenance of Composite Windows",4
"08 01 56","Operation and Maintenance of Special Function Windows",4
"08 01 60","Operation and Maintenance of Skylights and Roof Windows",4
"08 01 61","Operation and Maintenance of Roof Windows",4
"08 01 62","Operation and Maintenance of Unit Skylights",4
"08 01 63","Operation and Maintenance of Metal-Framed Skylights",4
"08 01 64","Operation and Maintenance of Plastic-Framed Skylights",4
"08 01 70","Operation and Maintenance of Hardware",4
"08 01 71","Operation and Maintenance of Door Hardware",4
"08 01 74","Operation and Maintenance of Access Control Hardware",4
"08 01 75","Operation and Maintenance of Window Hardware",4
"08 01 80","Maintenance of Glazing",4
"08 01 81","Maintenance of Glass Glazing",4
"08 01 84","Maintenance of Plastic Glazing",4
"08 01 88","Maintenance of Special Function Glazing",4
"08 01 90","Operation and Maintenance of Louvers and Vents",4
"08 01 91","Operation and Maintenance of Louvers",4
"08 01 92","Operation and Maintenance of Louvered Equipment Enclosures",4
"08 01 95","Operation and Maintenance of Vents",4
"08 03 00","Conservation Treatment for Period Openings",3
"08 03 11","Conservation Treatment for Period Metal Doors and Frames",4
"08 03 11.23","Conservation Treatment for Period Bronze Doors and Frames",5
"08 03 14","Conservation Treatment for Period Wood Doors",4
"08 03 14.23","Conservation Treatment for Period Metal-Faced Wood Doors",5
"08 03 14.33","Conservation Treatment for Period Stile and Rail Wood Doors",5
"08 03 30","Conservation Treatment for Period Specialty Doors and Frames",4
"08 03 34","Conservation Treatment for Period Special Function Doors",4
"08 03 34.59","Conservation Treatment for Period Vault Doors",5
"08 03 50","Conservation Treatment for Period Windows",4
"08 03 51","Conservation Treatment for Period Metal Windows",4
"08 03 51.16","Conservation Treatment for Period Bronze Windows",5
"08 03 51.23","Conservation Treatment for Period Steel Windows",5
"08 03 52","Conservation Treatment for Period Wood Windows",4
"08 03 70","Conservation Treatment for Period Hardware",4
"08 03 71","Conservation Treatment for Period Door Hardware",4
"08 03 75","Conservation Treatment for Period Window Hardware",4
"08 03 90","Conservation Treatment for Period Louvers and Vents",4
"08 03 91","Conservation Treatment for Period Louvers",4
"08 03 95","Conservation Treatment for Period Vents",4
"08 05 00","Common Work Results for Openings",3
"08 05 05","Selective Demolition for Openings",4
"08 06 00","Schedules for Openings",3
"08 06 10","Door Schedule",4
"08 06 10.13","Door Type Schedule",5
"08 06 10.16","Frame Type Schedule",5
"08 06 40","Schedules for Entrances, Storefronts, and Curtain Walls",4
"08 06 41","Entrance Schedule",4
"08 06 42","Storefront Schedule",4
"08 06 50","Window Schedule",4
"08 06 60","Skylight Schedule",4
"08 06 70","Hardware Schedule",4
"08 06 71","Door Hardware Schedule",4
"08 06 80","Glazing Schedule",4
"08 06 90","Louver and Vent Schedule",4
"08 08 00","Commissioning of Openings",3
"08 10 00","Doors and Frames",2
"08 11 00","Metal Doors and Frames",3
"08 11 13","Hollow Metal Doors and Frames",4
"08 11 13.13","Standard Hollow Metal Doors and Frames",5
"08 11 13.16","Custom Hollow Metal Doors and Frames",5
"08 11 16","Aluminum Doors and Frames",4
"08 11 19","Stainless-Steel Doors and Frames",4
"08 11 23","Bronze Doors and Frames",4
"08 11 63","Metal Screen and Storm Doors and Frames",4
"08 11 63.13","Steel Screen and Storm Doors and Frames",5
"08 11 63.23","Aluminum Screen and Storm Doors and Frames",5
"08 11 66","Metal Screen Doors and Frames",4
"08 11 66.13","Steel Screen Doors and Frames",5
"08 11 66.23","Aluminum Screen Doors and Frames",5
"08 11 69","Metal Storm Doors and Frames",4
"08 11 69.13","Steel Storm Doors and Frames",5
"08 11 69.23","Aluminum Storm Doors and Frames",5
"08 11 73","Sliding Metal Fire Doors",4
"08 11 74","Sliding Metal Grilles",4
"08 12 00","Metal Frames",3
"08 12 13","Hollow Metal Frames",4
"08 12 13.13","Standard Hollow Metal Frames",5
"08 12 13.53","Custom Hollow Metal Frames",5
"08 12 16","Aluminum Frames",4
"08 12 19","Stainless-Steel Frames",4
"08 12 23","Bronze Frames",4
"08 13 00","Metal Doors",3
"08 13 13","Hollow Metal Doors",4
"08 13 13.13","Standard Hollow Metal Doors",5
"08 13 13.53","Custom Hollow Metal Doors",5
"08 13 16","Aluminum Doors",4
"08 13 16.13","Aluminum Terrace Doors",5
"08 13 19","Stainless-Steel Doors",4
"08 13 23","Bronze Doors",4
"08 13 73","Sliding Metal Doors",4
"08 13 76","Bifolding Metal Doors",4
"08 14 00","Wood Doors",3
"08 14 13","Carved Wood Doors",4
"08 14 16","Flush Wood Doors",4
"08 14 23","Clad Wood Doors",4
"08 14 23.13","Metal-Faced Wood Doors",5
"08 14 23.16","Plastic-Laminate-Faced Wood Doors",5
"08 14 23.17","Plastic-Faced Wood Doors",5
"08 14 23.19","Molded-Hardboard-Faced Wood Doors",5
"08 14 29","Prefinished Wood Doors",4
"08 14 33","Stile and Rail Wood Doors",4
"08 14 33.13","Wood Terrace Doors",5
"08 14 66","Wood Screen Doors",4
"08 14 69","Wood Storm Doors",4
"08 14 73","Sliding Wood Doors",4
"08 14 76","Bifolding Wood Doors",4
"08 15 00","Plastic Doors",3
"08 15 13","Laminated Plastic Doors",4
"08 15 16","Solid Plastic Doors",4
"08 15 66","Plastic Screen Doors",4
"08 15 69","Plastic Storm Doors",4
"08 15 73","Sliding Plastic Doors",4
"08 15 76","Bifolding Plastic Doors",4
"08 16 00","Composite Doors",3
"08 16 13","Fiberglass Doors",4
"08 16 73","Sliding Composite Doors",4
"08 16 76","Bifolding Composite Doors",4
"08 17 00","Integrated Door Opening Assemblies",3
"08 17 13","Integrated Metal Door Opening Assemblies",4
"08 17 23","Integrated Wood Door Opening Assemblies",4
"08 17 33","Integrated Plastic Door Opening Assemblies",4
"08 17 43","Integrated Composite Door Opening Assemblies",4
"08 30 00","Specialty Doors and Frames",2
"08 31 00","Access Doors and Panels",3
"08 31 13","Access Doors and Frames",4
"08 31 13.53","Security Access Doors and Frames",5
"08 31 16","Access Panels and Frames",4
"08 32 00","Sliding Glass Doors",3
"08 32 13","Sliding Aluminum-Framed Glass Doors",4
"08 32 16","Sliding Plastic-Framed Glass Doors",4
"08 32 19","Sliding Wood-Framed Glass Doors",4
"08 33 00","Coiling Doors and Grilles",3
"08 33 13","Coiling Counter Doors",4
"08 33 16","Coiling Counter Grilles",4
"08 33 23","Overhead Coiling Doors",4
"08 33 23.13","Overhead Rapid Coiling Doors",5
"08 33 26","Overhead Coiling Grilles",4
"08 33 33","Side Coiling Doors",4
"08 33 36","Side Coiling Grilles",4
"08 33 43","Overhead Coiling Smoke Curtains",4
"08 33 44","Overhead Coiling Fire Curtains",4
"08 34 00","Special Function Doors",3
"08 34 13","Cold Storage Doors",4
"08 34 16","Hangar Doors",4
"08 34 19","Industrial Doors",4
"08 34 33","Lightproof Doors",4
"08 34 36","Darkroom Doors",4
"08 34 46","Radio-Frequency-Interference Shielding Doors",4
"08 34 49","Radiation Shielding Doors and Frames",4
"08 34 49.13","Neutron Shielding Doors and Frames",5
"08 34 53","Security Doors and Frames",4
"08 34 56","Security Gates",4
"08 34 58","File Room Doors and Frames",4
"08 34 59","Vault Doors and Day Gates",4
"08 34 73","Sound Control Door Assemblies",4
"08 34 73.13","Metal Sound Control Door Assemblies",5
"08 34 73.16","Wood Sound Control Door Assemblies",5
"08 35 00","Folding Doors and Grilles",3
"08 35 13","Folding Doors",4
"08 35 13.13","Accordion Folding Doors",5
"08 35 13.23","Accordion Folding Fire Doors",5
"08 35 13.33","Panel Folding Doors",5
"08 35 16","Folding Grilles",4
"08 35 16.13","Accordion Folding Grilles",5
"08 36 00","Panel Doors",3
"08 36 13","Sectional Doors",4
"08 36 16","Single-Panel Doors",4
"08 36 19","Multi-Leaf Vertical Lift Doors",4
"08 36 23","Telescoping Vertical Lift Doors",4
"08 38 00","Traffic Doors",3
"08 38 13","Flexible Strip Doors",4
"08 38 16","Flexible Traffic Doors",4
"08 38 19","Rigid Traffic Doors",4
"08 39 00","Pressure-Resistant Doors",3
"08 39 13","Airtight Doors",4
"08 39 19","Watertight Doors",4
"08 39 53","Blast-Resistant Doors",4
"08 40 00","Entrances, Storefronts, and Curtain Walls",2
"08 41 00","Entrances and Storefronts",3
"08 41 13","Aluminum-Framed Entrances and Storefronts",4
"08 41 13.13","Fire-Rated Aluminum-Framed Entrances and Storefronts",5
"08 41 16","Bronze-Framed Entrances and Storefronts",4
"08 41 19","Stainless-Steel-Framed Entrances and Storefronts",4
"08 41 23","Steel-Framed Entrances and Storefronts",4
"08 41 26","All-Glass Entrances and Storefronts",4
"08 41 26.13","Point Supported All-Glass Storefronts",5
"08 42 00","Entrances",3
"08 42 13","Aluminum-Framed Entrances",4
"08 42 26","All-Glass Entrances",4
"08 42 29","Automatic Entrances",4
"08 42 29.13","Folding Automatic Entrances",5
"08 42 29.23","Sliding Automatic Entrances",5
"08 42 29.33","Swinging Automatic Entrances",5
"08 42 33","Revolving Door Entrances",4
"08 42 33.13","Security Revolving Door Entrances",5
"08 42 36","Balanced Door Entrances",4
"08 42 39","Pressure-Resistant Entrances",4
"08 42 43","Intensive Care Unit/Critical Care Unit Entrances",4
"08 43 00","Storefronts",3
"08 43 11","Timber-Framed Storefronts",4
"08 43 13","Aluminum-Framed Storefronts",4
"08 43 13.13","Fire-Rated Aluminum Storefronts",5
"08 43 16","Bronze-Framed Storefronts",4
"08 43 19","Stainless-Steel-Framed Storefronts",4
"08 43 23","Steel-Framed Storefronts",4
"08 43 26","All-Glass Storefronts",4
"08 43 27","Channel Glass Storefronts",4
"08 43 29","Sliding Storefronts",4
"08 44 00","Curtain Wall and Glazed Assemblies",3
"08 44 11","Glazed Timber Curtain Walls",4
"08 44 12","Glazed Composite Curtain Wall",4
"08 44 12.13","Glazed Fiberglass Curtain Wall",5
"08 44 13","Glazed Aluminum Curtain Walls",4
"08 44 16","Glazed Bronze Curtain Walls",4
"08 44 18","Glazed Steel Curtain Walls",4
"08 44 19","Glazed Stainless-Steel Curtain Walls",4
"08 44 23","Structural Sealant Glazed Curtain Walls",4
"08 44 26","Structural Glass Curtain Walls",4
"08 44 26.13","Glass Framed Point Supported Glass Curtain Walls",5
"08 44 26.16","Metal Framed Point Supported Glass Curtain Walls",5
"08 44 26.23","Cable Framed Point Supported Glass Curtain Walls",5
"08 44 33","Sloped Glazing Assemblies",4
"08 45 00","Translucent Wall and Roof Assemblies",3
"08 45 13","Structured-Polycarbonate-Panel Assemblies",4
"08 45 23","Fiberglass-Sandwich-Panel Assemblies",4
"08 46 00","Window Wall Assemblies",3
"08 50 00","Windows",2
"08 51 00","Metal Windows",3
"08 51 13","Aluminum Windows",4
"08 51 16","Bronze Windows",4
"08 51 19","Stainless-Steel Windows",4
"08 51 23","Steel Windows",4
"08 51 23.13","Hot-Rolled Steel Windows",5
"08 51 23.23","Cold-Rolled Steel Windows",5
"08 51 66","Metal Window Screens",4
"08 51 69","Metal Storm Windows",4
"08 52 00","Wood Windows",3
"08 52 13","Metal-Clad Wood Windows",4
"08 52 16","Plastic-Clad Wood Windows",4
"08 52 66","Wood Window Screens",4
"08 52 69","Wood Storm Windows",4
"08 53 00","Plastic Windows",3
"08 53 13","Vinyl Windows",4
"08 53 66","Vinyl Window Screens",4
"08 53 69","Vinyl Storm Windows",4
"08 54 00","Composite Windows",3
"08 54 13","Fiberglass Windows",4
"08 54 66","Fiberglass Window Screens",4
"08 54 69","Fiberglass Storm Windows",4
"08 55 00","Pressure-Resistant Windows",3
"08 55 13","Tornado-Resistant Windows",4
"08 55 23","Blast-Resistant Windows",4
"08 56 00","Special Function Windows",3
"08 56 19","Pass Windows",4
"08 56 46","Radio-Frequency-Interference Shielding Windows",4
"08 56 49","Radiation Shielding Windows",4
"08 56 53","Security Windows",4
"08 56 56","Security Window Screens",4
"08 56 59","Service and Teller Window Units",4
"08 56 73","Sound Control Windows",4
"08 56 88","Interior Insulating Windows",4
"08 60 00","Roof Windows and Skylights",2
"08 61 00","Roof Windows",3
"08 61 13","Metal Roof Windows",4
"08 61 16","Wood Roof Windows",4
"08 62 00","Unit Skylights",3
"08 62 13","Domed Unit Skylights",4
"08 62 16","Pyramidal Unit Skylights",4
"08 62 19","Vaulted Unit Skylights",4
"08 62 23","Tubular Skylights",4
"08 63 00","Metal-Framed Skylights",3
"08 63 13","Domed Metal-Framed Skylights",4
"08 63 16","Pyramidal Metal-Framed Skylights",4
"08 63 19","Vaulted Metal-Framed Skylights",4
"08 63 23","Ridge Metal-Framed Skylights",4
"08 63 53","Motorized Metal-Framed Skylights",4
"08 64 00","Plastic-Framed Skylights",3
"08 65 00","Glazed Canopies",3
"08 65 13","Suspended Glazed Canopies",4
"08 67 00","Skylight Protection and Screens",3
"08 70 00","Hardware",2
"08 71 00","Door Hardware",3
"08 71 13","Automatic Door Operators",4
"08 71 53","Security Door Hardware",4
"08 75 00","Window Hardware",3
"08 75 13","Automatic Window Equipment",4
"08 75 16","Window Operators",4
"08 78 00","Special Function Hardware",3
"08 79 00","Hardware Accessories",3
"08 79 13","Key Storage Equipment",4
"08 80 00","Glazing",2
"08 81 00","Glass Glazing",3
"08 81 13","Decorative Glass Glazing",4
"08 81 23","Exterior Glass Glazing",4
"08 81 26","Interior Glass Glazing",4
"08 83 00","Mirrors",3
"08 83 13","Mirrored Glass Glazing",4
"08 83 16","Mirrored Plastic Glazing",4
"08 84 00","Plastic Glazing",3
"08 84 13","Decorative Plastic Glazing",4
"08 85 00","Glazing Accessories",3
"08 87 00","Glazing Surface Films",3
"08 87 13","Solar Control Films",4
